"日付","終値","始値","高値","安値","出来高","変化率 %"
"2026-03-13","6,632.19","6,673.49","6,733.30","6,623.92","","-0.61%"
"2026-03-12","6,672.62","6,740.88","6,740.88","6,670.40","","-1.52%"
"2026-03-11","6,775.80","6,790.09","6,811.15","6,745.59","","-0.08%"
"2026-03-10","6,781.48","6,796.56","6,845.08","6,759.74","","-0.21%"
"2026-03-09","6,795.99","6,699.80","6,810.44","6,636.04","","0.83%"
"2026-03-06","6,740.02","6,769.03","6,773.42","6,711.56","","-1.33%"
"2026-03-05","6,830.71","6,851.08","6,870.43","6,770.78","","-0.56%"
"2026-03-04","6,869.50","6,831.69","6,885.94","6,811.64","","0.78%"
"2026-03-03","6,816.63","6,800.26","6,840.05","6,710.42","","-0.94%"
"2026-03-02","6,881.62","6,824.36","6,901.01","6,796.85","","0.04%"
"2026-02-27","6,878.88","6,856.54","6,882.96","6,831.74","","-0.43%"
"2026-02-26","6,908.86","6,944.74","6,947.25","6,859.73","","-0.54%"
"2026-02-25","6,946.13","6,915.15","6,952.51","6,915.15","","0.81%"
"2026-02-24","6,890.07","6,837.37","6,899.17","6,815.43","","0.77%"
"2026-02-23","6,837.75","6,901.25","6,916.96","6,819.82","","-1.04%"
"2026-02-20","6,909.51","6,843.26","6,915.86","6,836.33","","0.69%"
"2026-02-19","6,861.89","6,861.34","6,879.12","6,833.06","","-0.28%"
"2026-02-18","6,881.31","6,855.48","6,909.12","6,849.66","","0.56%"
"2026-02-17","6,843.22","6,819.86","6,866.99","6,775.50","","0.10%"
"2026-02-13","6,836.17","6,834.27","6,881.96","6,794.55","","0.05%"
"2026-02-12","6,832.76","6,957.54","6,973.22","6,824.04","","-1.57%"
"2026-02-11","6,941.47","6,976.48","6,993.48","6,911.97","","0.00%"
"2026-02-10","6,941.81","6,974.49","6,986.83","6,937.53","","-0.33%"
"2026-02-09","6,964.82","6,917.26","6,980.10","6,905.87","","0.47%"
"2026-02-06","6,932.30","6,816.74","6,944.89","6,816.74","","1.97%"
"2026-02-05","6,798.40","6,837.39","6,857.85","6,780.13","","-1.23%"
"2026-02-04","6,882.72","6,924.50","6,936.09","6,838.80","","-0.51%"
"2026-02-03","6,917.81","6,985.45","6,993.08","6,862.05","","-0.84%"
"2026-02-02","6,976.44","6,916.64","6,991.92","6,914.34","","0.54%"
"2026-01-30","6,939.03","6,947.27","6,964.09","6,893.48","","-0.43%"
"2026-01-29","6,969.01","6,977.74","6,992.84","6,870.80","","-0.13%"
"2026-01-28","6,978.03","7,002.00","7,002.28","6,963.46","","-0.01%"
"2026-01-27","6,978.60","6,965.96","6,988.82","6,958.83","","0.41%"
"2026-01-26","6,950.23","6,923.23","6,964.66","6,921.60","","0.50%"
"2026-01-23","6,915.61","6,907.85","6,932.96","6,895.50","","0.03%"
"2026-01-22","6,913.35","6,914.44","6,934.75","6,893.62","","0.55%"
"2026-01-21","6,875.62","6,810.71","6,910.39","6,804.96","","1.16%"
"2026-01-20","6,796.86","6,865.24","6,871.17","6,789.05","","-2.06%"
"2026-01-16","6,940.01","6,960.54","6,967.30","6,925.09","","-0.06%"
"2026-01-15","6,944.47","6,969.46","6,979.34","6,937.93","","0.26%"
"2026-01-14","6,926.60","6,937.41","6,941.30","6,885.74","","-0.53%"
"2026-01-13","6,963.74","6,977.41","6,985.83","6,938.77","","-0.19%"
"2026-01-12","6,977.27","6,944.12","6,986.33","6,934.07","","0.16%"
"2026-01-09","6,966.28","6,927.83","6,978.36","6,917.64","","0.65%"
"2026-01-08","6,921.46","6,914.11","6,931.28","6,899.33","","0.01%"
"2026-01-07","6,920.93","6,945.07","6,965.69","6,919.19","","-0.34%"
"2026-01-06","6,944.82","6,908.03","6,948.69","6,904.02","","0.62%"
"2026-01-05","6,902.05","6,892.19","6,920.38","6,891.56","","0.64%"
"2026-01-02","6,858.47","6,878.11","6,894.87","6,824.31","","0.19%"
"2025-12-31","6,845.50","6,898.82","6,901.42","6,844.55","","-0.74%"
"2025-12-30","6,896.24","6,900.44","6,913.25","6,893.47","","-0.14%"
"2025-12-29","6,905.74","6,903.60","6,920.21","6,888.76","","-0.35%"
"2025-12-26","6,929.94","6,936.02","6,945.77","6,921.60","","-0.03%"
"2025-12-24","6,932.05","6,904.91","6,937.32","6,904.91","","0.32%"
"2025-12-23","6,909.79","6,872.41","6,910.88","6,868.81","","0.46%"
"2025-12-22","6,878.49","6,865.21","6,882.03","6,855.74","","0.64%"
"2025-12-19","6,834.50","6,792.62","6,840.02","6,792.62","","0.88%"
"2025-12-18","6,774.76","6,778.06","6,816.13","6,758.50","","0.79%"
"2025-12-17","6,721.43","6,802.88","6,812.26","6,720.43","","-1.16%"
